x,y,z
-12.243773991816417,-6.263800968491456,-16.692039531694135
-11.427522392361988,-5.846214237258692,-16.23323689624786
-10.611270792907561,-5.428627506025928,-15.774434260801584
-9.795019193453133,-5.011040774793164,-15.315631625355309
-8.978767593998706,-4.593454043560401,-14.856828989909033
-8.162515994544277,-4.175867312327637,-14.398026354462758
-7.346264395089849,-3.758280581094873,-13.939223719016482
-6.530012795635422,-3.3406938498621095,-13.480421083570207
-5.713761196180994,-2.923107118629346,-13.021618448123931
-4.897509596726566,-2.505520387396582,-12.562815812677655
-4.081257997272138,-2.087933656163818,-12.10401317723138
-3.265006397817711,-1.6703469249310547,-11.645210541785104
-2.4487547983632822,-1.2527601936982906,-11.186407906338827
-1.6325031989088554,-0.8351734624655274,-10.727605270892552
-0.8162515994544268,-0.41758673123276324,-10.268802635446276
0.0,0.0,-9.81
0.8162515994544286,0.41758673123276413,-9.351197364553725
1.6325031989088572,0.8351734624655283,-8.89239472910745
2.448754798363284,1.2527601936982915,-8.433592093661174
3.2650063978177126,1.6703469249310556,-7.974789458214898
4.081257997272141,2.0879336561638198,-7.515986822768623
4.897509596726566,2.505520387396583,-7.057184187322347
5.713761196180995,2.9231071186293462,-6.598381551876072
6.5300127956354235,3.3406938498621095,-6.139578916429796
7.346264395089852,3.7582805810948745,-5.680776280983519
8.16251599454428,4.175867312327638,-5.221973645537243
8.978767593998706,4.593454043560401,-4.763171010090968
9.795019193453134,5.011040774793166,-4.304368374644692
10.611270792907563,5.428627506025929,-3.845565739198417
11.427522392361992,5.8462142372586925,-3.3867631037521413
12.243773991816417,6.263800968491456,-2.9279604683058658
