ID,Paso 1,Paso 2,Paso 3,Paso 4,Paso 5,Paso 6,Paso 7,Paso 8,Paso 9,Paso 10,Paso 11,Paso 12,Paso 13,Paso 14,Paso 15,Paso 16,Paso 17,Paso 18,Paso 19,Paso 20,Paso 21,Paso 22,Paso 23,Paso 24,Paso 25,Paso 26,Paso 27,Paso 28,Paso 29,Paso 30,Paso 31,Paso 32,Paso 33,Paso 34,Paso 35,Paso 36,Paso 37,Paso 38,Paso 39,Paso 40,Paso 41,Paso 42,Paso 43,Paso 44,Paso 45,Paso 46,Paso 47,Paso 48,Paso 49,Paso 50,Paso 51,Paso 52,Paso 53,Paso 54,Paso 55,Paso 56,Paso 57,Paso 58,Paso 59,Paso 60,Paso 61,Paso 62,Paso 63,Paso 64,Paso 65,Paso 66,Paso 67,Paso 68,Paso 69,Paso 70,Paso 71,Paso 72,Paso 73,Paso 74,Paso 75,Paso 76,Paso 77,Paso 78,Paso 79,Paso 80,Paso 81,Paso 82,Paso 83,Paso 84,Paso 85,Paso 86,Paso 87,Paso 88,Paso 89,Paso 90,Paso 91,Paso 92,Paso 93,Paso 94,Paso 95,Paso 96,Paso 97,Paso 98,Paso 99,Paso 100
11,1690,1690,1690,1690,1690,1690,1690,1690,1690,1688,1681,1669,1654,1634,1612,1588,1563,1533,1479,1407,1325,1241,1163,1100,1060,1050,1050,1050,1050,1050,1050,1050,1050,1050,1060,1086,1125,1169,1214,1254,1284,1299,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1312,1339,1378,1428,1486,1550,1619,1690
12,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2420,2411,2375,2321,2255,2187,2123,2073,2044,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2048,2070,2105,2150,2203,2261,2322,2384,2457,2565,2695,2835,2973,3095,3189,3242,3248,3234,3208,3173,3131,3084,3035,2985,2938,2887,2832,2773,2709,2642,2571,2496,2420
13,2590,2555,2526,2504,2487,2475,2466,2461,2460,2463,2476,2499,2528,2563,2601,2640,2680,2721,2777,2845,2918,2990,3056,3108,3141,3147,3097,2994,2858,2705,2555,2425,2334,2300,2300,2300,2300,2300,2300,2300,2300,2300,2313,2368,2452,2554,2661,2760,2838,2883,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2890,2889,2880,2859,2829,2791,2746,2696,2644,2590
14,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1529,1567,1626,1697,1771,1839,1894,1925,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1884,1762,1590,1390,1187,1006,869,803,802,813,831,856,884,916,949,983,1018,1063,1118,1178,1239,1297,1349,1389,1415,1435,1455,1472,1488,1501,1511,1517,1520
15,2380,2347,2315,2286,2259,2236,2218,2205,2200,2200,2200,2200,2200,2200,2200,2200,2200,2195,2163,2106,2035,1956,1880,1814,1767,1747,1737,1727,1719,1712,1707,1703,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1712,1760,1835,1928,2027,2123,2205,2263,2291,2311,2328,2343,2355,2367,2378,2390,2403,2418,2433,2450,2465,2479,2490,2497,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2499,2496,2487,2475,2460,2442,2422,2401,2380
16,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1703,1707,1712,1718,1723,1727,1729,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1716,1681,1630,1572,1513,1460,1420,1400,1405,1427,1462,1506,1555,1606,1653,1693,1725,1757,1789,1821,1850,1876,1895,1907,1909,1905,1894,1876,1853,1824,1788,1747,1700
17,2060,2069,2077,2084,2090,2094,2097,2099,2099,2098,2094,2087,2078,2069,2060,2054,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2054,2064,2080,2097,2115,2131,2143,2149,2149,2146,2141,2135,2128,2120,2112,2104,2095,2085,2074,2062,2049,2035,2022,2009,1996,1982,1967,1951,1935,1921,1910,1902,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1902,1906,1912,1919,1926,1935,1943,1952,1961,1972,1984,1997,2012,2027,2043,2060
18,2040,2045,2051,2057,2064,2072,2080,2088,2097,2107,2121,2137,2153,2169,2182,2193,2199,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2198,2191,2181,2168,2152,2136,2120,2106,2094,2082,2071,2061,2049,2038,2025,2011,1995,1973,1944,1912,1879,1848,1823,1806,1800,1800,1800,1800,1800,1800,1800,1800,1800,1802,1812,1828,1847,1867,1885,1900,1908,1910,1910,1910,1910,1910,1910,1910,1910,1910,1914,1923,1936,1952,1972,1993,2016,2040
19,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
20,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170,2170
